id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
220561,0.0,0.0,,,0.0,0.5992932617664337,0.4558411240577698,,,0.7051185270150503,0.5,1.0,,,0.8333333333333334,0.0,0.5867509709464179,0.7777777777777778,Flyiin,13200000.0,acquired,220561,2.64,4.0
224783,1.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.1522242426872253,0.4856891334056854,0.6317620078722636,0.5318401455879211,0.5619859000047048,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5333333333333334,0.47270028591156005,0.4666666666666666,Spectrm,32500000.0,acquired,224783,10.97,17.0
394788,0.0,0.0,,,0.0,0.3205347210168838,0.5733123123645782,,,0.337995707988739,0.0,1.0,,,0.3333333333333333,0.0,0.4106142471234004,0.4444444444444444,Sigrow,,operational,394788,0.06,14.0
862719,0.0,0.6666666666666666,,,0.4444444444444444,0.47932372490564984,0.505420317252477,,,0.36831258734067274,0.0,1.0,,,0.3333333333333333,0.3703703703703704,0.4510188764995999,0.4444444444444444,SmartOcto,550000.0,operational,862719,0.11,40.0
863584,0.0,1.0,1.0,1.0,1.0,0.4099880456924438,0.5117051601409912,0.8603732387224833,0.7651885151863098,0.7659941713015238,0.0,1.0,1.0,1.0,1.0,0.8,0.6626498262087503,0.8,Picnic,3300000000.0,operational,863584,1853.5,3289.0
865282,0.0,0.0,,,,0.5095796585083008,0.33509255945682526,,,,0.0,0.5,,,,0.0,0.422336108982563,0.25,Most,7562500.0,acquired,865282,2.62,
866291,0.0,0.0,,,0.0,0.5746115744113922,0.7344128489494324,,,0.5712382346391678,0.5,1.0,,,0.8333333333333334,0.0,0.6267542193333308,0.7777777777777778,Loop Robots,10000000.0,operational,866291,2.0,13.0
867238,1.0,1.0,,,0.0,0.5326118469238281,0.4995133578777313,,,0.6071882247924805,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.5464378098646799,0.8888888888888888,Pepins,60506050.5,acquired,867238,13.97,25.0
867395,0.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.530540868639946,0.5477729439735413,0.41226229816675186,0.5925952196121216,0.3816679244240125,0.5,1.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.5999999999999999,0.49296785096327467,0.5666666666666667,casavi,110000000.0,operational,867395,22.0,126.0
867553,0.0,1.0,0.3333333333333333,0.0,0.0,0.4690333008766174,0.6136057376861572,0.6553827921549479,0.5990985433260599,0.5743274490038554,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.26666666666666666,0.5822895646095275,0.6666666666666666,EMAsphere,24750000.0,operational,867553,18.37,77.0
868373,0.0,1.0,0.0,,0.3333333333333333,0.5201659202575684,0.5976476073265076,0.32355265816052753,,0.35702350238958996,0.0,1.0,0.0,,0.6666666666666666,0.3333333333333333,0.44959742203354836,0.41666666666666663,Cloud Insurance,550000.0,operational,868373,0.96,17.0
868761,0.0,1.0,0.08333333333333333,0.0,0.0,0.38047464936971664,0.5526669472455978,0.3584163871904214,0.3859892760713895,0.3698346298187971,0.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.21666666666666665,0.40947637793918445,0.33333333333333337,Crayonic,5000000.0,operational,868761,2.1,9.0
868855,0.0,0.0,,,0.0,0.453140527009964,0.3888483345508575,,,0.3678840696811676,0.0,1.0,,,0.0,0.0,0.403290977080663,0.3333333333333333,Digital Audience,550000.0,operational,868855,0.11,15.0
869432,1.0,1.0,,,0.0,0.7681010365486145,0.5781986117362976,,,0.6522446672121683,1.0,1.0,,,0.6666666666666666,0.6666666666666666,0.6661814384990268,0.8888888888888888,Invesdor INV AG,38500000.0,acquired,869432,7.7,33.0
869621,1.0,1.0,,,0.0,0.4734227359294891,0.4374249577522278,,,0.5081352988878886,0.0,1.0,,,0.3333333333333333,0.6666666666666666,0.47299433085653514,0.4444444444444444,MobelFirst,1375000.0,acquired,869621,0.28,4.0
