id,true_target_has_exit,true_target_has_round,true_target_funding_delta_upper_q,true_target_valuation_delta_upper_q,true_target_employee_delta_upper_q,proba_target_has_exit,proba_target_has_round,proba_target_funding_delta_upper_q,proba_target_valuation_delta_upper_q,proba_target_employee_delta_upper_q,pred_target_has_exit,pred_target_has_round,pred_target_funding_delta_upper_q,pred_target_valuation_delta_upper_q,pred_target_employee_delta_upper_q,avg_true,avg_proba,avg_pred,name,valuation_usd,company_status,ID,Total funding (USD M),Employees latest number
394943,0.0,1.0,1.0,1.0,1.0,0.5939603447914124,0.8145298957824707,0.7380754086706374,0.674134244521459,0.7266168958610959,0.16666666666666666,1.0,0.7777777777777778,0.8888888888888888,0.8888888888888888,0.8,0.709463357925415,0.7444444444444445,Clark,1000000000.0,operational,394943,125.91,564.0
536106,0.0,1.0,0.5833333333333334,0.4166666666666667,1.0,0.6070127561688423,0.7537774369120598,0.45282478009661037,0.3765740344921748,0.553446056942145,0.25,1.0,0.4166666666666667,0.3333333333333333,0.5,0.6,0.5487270129223665,0.5,Nextory,60506050.5,operational,536106,52.54,134.0
540933,0.0,0.0,,,,0.32083235075697303,0.2171987360634375,,,,0.25,0.5,,,,0.0,0.2690155434102053,0.375,Hivebeat,650000.0,closed,540933,0.13,
548551,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.5161380767822266,0.6427720189094543,0.46230459213256836,0.4119633436203003,0.6309412121772766,0.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.4,0.5328238487243653,0.5333333333333333,eloomi,35000000.0,acquired,548551,77.45,156.0
765374,0.0,1.0,0.08333333333333333,0.0,0.0,0.43540461733937263,0.7618054300546646,0.4494585519035657,0.37975629419088364,0.4116416722536087,0.0,1.0,0.3333333333333333,0.25,0.3333333333333333,0.21666666666666665,0.487613313148419,0.3833333333333333,Hamwells,6600000.0,operational,765374,3.08,6.0
846021,0.0,0.0,,,0.0,0.2546060035626094,0.23689162614755324,,,0.5368169844150543,0.0,0.3333333333333333,,,0.6666666666666666,0.0,0.34277153804173893,0.3333333333333333,Reforged Studios,12500000.0,closed,846021,2.5,2.0
861845,0.0,0.75,0.7777777777777778,0.75,0.8333333333333334,0.6481755152344704,0.807324692606926,0.770830922656589,0.6932511727015177,0.785120298465093,0.25,1.0,1.0,0.9166666666666666,1.0,0.6222222222222222,0.7409405203329192,0.8333333333333333,Getsafe,315000000.0,operational,861845,120.51,177.0
861892,0.0,0.0,,,0.0,0.24360764306038615,0.19119338318705556,,,0.2663482924302419,0.0,0.5,,,0.0,0.0,0.23371643955922786,0.16666666666666666,Eyedea AS,,operational,861892,0.01,15.0
862045,0.0,1.0,0.0,0.0,0.0,0.7817089756329855,0.846322496732076,0.5987008710702261,0.5528271628750695,0.6318551401297251,0.6666666666666666,1.0,0.6666666666666666,0.5555555555555556,0.7777777777777778,0.2,0.6822829292880164,0.7333333333333332,Koukoi Games,5500000.0,acquired,862045,4.36,3.0
862080,0.0,1.0,0.2222222222222222,0.5,1.0,0.6013129130005836,0.8553033620119095,0.6450500984986623,0.5828400527437528,0.5923400893807411,0.0,1.0,0.7777777777777778,0.6666666666666666,0.75,0.5444444444444445,0.6553693031271299,0.6388888888888888,ParcelLab,508750000.0,operational,862080,105.0,162.0
